Revenue/Expenditure,Budget Type,District,Government,Value,Workplan,Year,Vote,Revenue Source
Revenue,Recurrent Revenues,Gomba District,District Government,"110,975",Workplan 1a: Administration,2011/12 Approved Budget,Vote: 591,District Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Gomba District,District Government,"93,102",Workplan 1a: Administration,2012/13 Approved Budget,Vote: 591,District Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Gomba District,District Government,,Workplan 1a: Administration,2011/12 Approved Budget,Vote: 591,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Gomba District,District Government,"334,099",Workplan 1a: Administration,2012/13 Approved Budget,Vote: 591,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Gomba District,District Government,"55,589",Workplan 1a: Administration,2011/12 Approved Budget,Vote: 591,Transfer of District Unconditional Grant - Wage
Revenue,Recurrent Revenues,Gomba District,District Government,"76,227",Workplan 1a: Administration,2012/13 Approved Budget,Vote: 591,Transfer of District Unconditional Grant - Wage
Revenue,Recurrent Revenues,Gomba District,District Government,"35,830",Workplan 1a: Administration,2011/12 Approved Budget,Vote: 591,Locally Raised Revenues
Revenue,Recurrent Revenues,Gomba District,District Government,"49,376",Workplan 1a: Administration,2012/13 Approved Budget,Vote: 591,Locally Raised Revenues
Revenue,Recurrent Revenues,Gomba District,District Government,"4,313",Workplan 1a: Administration,2011/12 Approved Budget,Vote: 591,Conditional Grant to PAF monitoring
Revenue,Recurrent Revenues,Gomba District,District Government,"7,840",Workplan 1a: Administration,2012/13 Approved Budget,Vote: 591,Conditional Grant to PAF monitoring
Revenue,Development Revenues,Gomba District,District Government,"33,631",Workplan 1a: Administration,2011/12 Approved Budget,Vote: 591,LGMSD (Former LGDP)
Revenue,Development Revenues,Gomba District,District Government,"30,936",Workplan 1a: Administration,2012/13 Approved Budget,Vote: 591,LGMSD (Former LGDP)
Revenue,Development Revenues,Gomba District,District Government,,Workplan 1a: Administration,2011/12 Approved Budget,Vote: 591,Locally Raised Revenues
Revenue,Development Revenues,Gomba District,District Government,"2,905",Workplan 1a: Administration,2012/13 Approved Budget,Vote: 591,Locally Raised Revenues
Revenue,Development Revenues,Gomba District,District Government,,Workplan 1a: Administration,2011/12 Approved Budget,Vote: 591,Multi-Sectoral Transfers to LLGs
Revenue,Development Revenues,Gomba District,District Government,"33,337",Workplan 1a: Administration,2012/13 Approved Budget,Vote: 591,Multi-Sectoral Transfers to LLGs
Expenditure,Recurrent Expenditure,Gomba District,District Government,"110,485",Workplan 1a: Administration,2011/12 Approved Budget,Vote: 591,Wage
Expenditure,Recurrent Expenditure,Gomba District,District Government,"323,629",Workplan 1a: Administration,2012/13 Approved Budget,Vote: 591,Wage
Expenditure,Recurrent Expenditure,Gomba District,District Government,"96,222",Workplan 1a: Administration,2011/12 Approved Budget,Vote: 591,Non Wage
Expenditure,Recurrent Expenditure,Gomba District,District Government,"237,015",Workplan 1a: Administration,2012/13 Approved Budget,Vote: 591,Non Wage
Expenditure,Development Expenditure,Gomba District,District Government,"33,631",Workplan 1a: Administration,2011/12 Approved Budget,Vote: 591,Domestic Development
Expenditure,Development Expenditure,Gomba District,District Government,"67,178",Workplan 1a: Administration,2012/13 Approved Budget,Vote: 591,Domestic Development
Expenditure,Development Expenditure,Gomba District,District Government,0,Workplan 1a: Administration,2011/12 Approved Budget,Vote: 591,Donor Development
Expenditure,Development Expenditure,Gomba District,District Government,0,Workplan 1a: Administration,2012/13 Approved Budget,Vote: 591,Donor Development
Revenue,Recurrent Revenues,Gomba District,District Government,"114,646",Workplan 1b: Multi-sectoral Transfers to LLGs,2011/12 Approved Budget,Vote: 591,Transfer of Urban Unconditional Grant - Wage
Revenue,Recurrent Revenues,Gomba District,District Government,,Workplan 1b: Multi-sectoral Transfers to LLGs,2012/13 Approved Budget,Vote: 591,Transfer of Urban Unconditional Grant - Wage
Revenue,Recurrent Revenues,Gomba District,District Government,"250,844",Workplan 1b: Multi-sectoral Transfers to LLGs,2011/12 Approved Budget,Vote: 591,Transfer of District Unconditional Grant - Wage
Revenue,Recurrent Revenues,Gomba District,District Government,,Workplan 1b: Multi-sectoral Transfers to LLGs,2012/13 Approved Budget,Vote: 591,Transfer of District Unconditional Grant - Wage
Revenue,Recurrent Revenues,Gomba District,District Government,"74,748",Workplan 1b: Multi-sectoral Transfers to LLGs,2011/12 Approved Budget,Vote: 591,Locally Raised Revenues
Revenue,Recurrent Revenues,Gomba District,District Government,,Workplan 1b: Multi-sectoral Transfers to LLGs,2012/13 Approved Budget,Vote: 591,Locally Raised Revenues
Revenue,Recurrent Revenues,Gomba District,District Government,"116,292",Workplan 1b: Multi-sectoral Transfers to LLGs,2011/12 Approved Budget,Vote: 591,District Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Gomba District,District Government,,Workplan 1b: Multi-sectoral Transfers to LLGs,2012/13 Approved Budget,Vote: 591,District Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Gomba District,District Government,"33,656",Workplan 1b: Multi-sectoral Transfers to LLGs,2011/12 Approved Budget,Vote: 591,Urban Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Gomba District,District Government,,Workplan 1b: Multi-sectoral Transfers to LLGs,2012/13 Approved Budget,Vote: 591,Urban Unconditional Grant - Non Wage
Revenue,Development Revenues,Gomba District,District Government,"158,385",Workplan 1b: Multi-sectoral Transfers to LLGs,2011/12 Approved Budget,Vote: 591,LGMSD (Former LGDP)
Revenue,Development Revenues,Gomba District,District Government,,Workplan 1b: Multi-sectoral Transfers to LLGs,2012/13 Approved Budget,Vote: 591,LGMSD (Former LGDP)
Expenditure,Recurrent Expenditure,Gomba District,District Government,"365,490",Workplan 1b: Multi-sectoral Transfers to LLGs,2011/12 Approved Budget,Vote: 591,Wage
Expenditure,Recurrent Expenditure,Gomba District,District Government,0,Workplan 1b: Multi-sectoral Transfers to LLGs,2012/13 Approved Budget,Vote: 591,Wage
Expenditure,Recurrent Expenditure,Gomba District,District Government,"224,696",Workplan 1b: Multi-sectoral Transfers to LLGs,2011/12 Approved Budget,Vote: 591,Non Wage
Expenditure,Recurrent Expenditure,Gomba District,District Government,0,Workplan 1b: Multi-sectoral Transfers to LLGs,2012/13 Approved Budget,Vote: 591,Non Wage
Expenditure,Development Expenditure,Gomba District,District Government,"158,385",Workplan 1b: Multi-sectoral Transfers to LLGs,2011/12 Approved Budget,Vote: 591,Domestic Development
Expenditure,Development Expenditure,Gomba District,District Government,0,Workplan 1b: Multi-sectoral Transfers to LLGs,2012/13 Approved Budget,Vote: 591,Domestic Development
Expenditure,Development Expenditure,Gomba District,District Government,0,Workplan 1b: Multi-sectoral Transfers to LLGs,2011/12 Approved Budget,Vote: 591,Donor Development
Expenditure,Development Expenditure,Gomba District,District Government,0,Workplan 1b: Multi-sectoral Transfers to LLGs,2012/13 Approved Budget,Vote: 591,Donor Development
Revenue,Recurrent Revenues,Gomba District,District Government,"54,601",Workplan 2: Finance,2011/12 Approved Budget,Vote: 591,District Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Gomba District,District Government,"19,514",Workplan 2: Finance,2012/13 Approved Budget,Vote: 591,District Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Gomba District,District Government,,Workplan 2: Finance,2011/12 Approved Budget,Vote: 591,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Gomba District,District Government,"71,120",Workplan 2: Finance,2012/13 Approved Budget,Vote: 591,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Gomba District,District Government,"45,636",Workplan 2: Finance,2011/12 Approved Budget,Vote: 591,Transfer of District Unconditional Grant - Wage
Revenue,Recurrent Revenues,Gomba District,District Government,"67,103",Workplan 2: Finance,2012/13 Approved Budget,Vote: 591,Transfer of District Unconditional Grant - Wage
Revenue,Recurrent Revenues,Gomba District,District Government,"10,989",Workplan 2: Finance,2011/12 Approved Budget,Vote: 591,Locally Raised Revenues
Revenue,Recurrent Revenues,Gomba District,District Government,"12,476",Workplan 2: Finance,2012/13 Approved Budget,Vote: 591,Locally Raised Revenues
Revenue,Recurrent Revenues,Gomba District,District Government,"1,767",Workplan 2: Finance,2011/12 Approved Budget,Vote: 591,Conditional Grant to PAF monitoring
Revenue,Recurrent Revenues,Gomba District,District Government,"5,226",Workplan 2: Finance,2012/13 Approved Budget,Vote: 591,Conditional Grant to PAF monitoring
Expenditure,Recurrent Expenditure,Gomba District,District Government,"45,636",Workplan 2: Finance,2011/12 Approved Budget,Vote: 591,Wage
Expenditure,Recurrent Expenditure,Gomba District,District Government,"90,623",Workplan 2: Finance,2012/13 Approved Budget,Vote: 591,Wage
Expenditure,Recurrent Expenditure,Gomba District,District Government,"67,357",Workplan 2: Finance,2011/12 Approved Budget,Vote: 591,Non Wage
Expenditure,Recurrent Expenditure,Gomba District,District Government,"84,816",Workplan 2: Finance,2012/13 Approved Budget,Vote: 591,Non Wage
Expenditure,Development Expenditure,Gomba District,District Government,0,Workplan 2: Finance,2011/12 Approved Budget,Vote: 591,Domestic Development
Expenditure,Development Expenditure,Gomba District,District Government,0,Workplan 2: Finance,2012/13 Approved Budget,Vote: 591,Domestic Development
Expenditure,Development Expenditure,Gomba District,District Government,0,Workplan 2: Finance,2011/12 Approved Budget,Vote: 591,Donor Development
Expenditure,Development Expenditure,Gomba District,District Government,0,Workplan 2: Finance,2012/13 Approved Budget,Vote: 591,Donor Development
Revenue,Recurrent Revenues,Gomba District,District Government,,Workplan 3: Statutory Bodies,2011/12 Approved Budget,Vote: 591,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Gomba District,District Government,"63,760",Workplan 3: Statutory Bodies,2012/13 Approved Budget,Vote: 591,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Gomba District,District Government,"36,867",Workplan 3: Statutory Bodies,2011/12 Approved Budget,Vote: 591,Conditional transfers to DSC Operational Costs
Revenue,Recurrent Revenues,Gomba District,District Government,"25,717",Workplan 3: Statutory Bodies,2012/13 Approved Budget,Vote: 591,Conditional transfers to DSC Operational Costs
Revenue,Recurrent Revenues,Gomba District,District Government,"102,960",Workplan 3: Statutory Bodies,2011/12 Approved Budget,Vote: 591,Conditional transfers to Salary and Gratuity for LG ele
Revenue,Recurrent Revenues,Gomba District,District Government,"102,960",Workplan 3: Statutory Bodies,2012/13 Approved Budget,Vote: 591,Conditional transfers to Salary and Gratuity for LG ele
Revenue,Recurrent Revenues,Gomba District,District Government,"30,940",Workplan 3: Statutory Bodies,2011/12 Approved Budget,Vote: 591,District Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Gomba District,District Government,"63,180",Workplan 3: Statutory Bodies,2012/13 Approved Budget,Vote: 591,District Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Gomba District,District Government,"28,591",Workplan 3: Statutory Bodies,2011/12 Approved Budget,Vote: 591,Conditional transfers to Contracts Committee/DSC/PA
Revenue,Recurrent Revenues,Gomba District,District Government,"28,120",Workplan 3: Statutory Bodies,2012/13 Approved Budget,Vote: 591,Conditional transfers to Contracts Committee/DSC/PA
Revenue,Recurrent Revenues,Gomba District,District Government,"22,361",Workplan 3: Statutory Bodies,2011/12 Approved Budget,Vote: 591,Locally Raised Revenues
Revenue,Recurrent Revenues,Gomba District,District Government,"45,435",Workplan 3: Statutory Bodies,2012/13 Approved Budget,Vote: 591,Locally Raised Revenues
Revenue,Recurrent Revenues,Gomba District,District Government,"1,178",Workplan 3: Statutory Bodies,2011/12 Approved Budget,Vote: 591,Conditional Grant to PAF monitoring
Revenue,Recurrent Revenues,Gomba District,District Government,"2,613",Workplan 3: Statutory Bodies,2012/13 Approved Budget,Vote: 591,Conditional Grant to PAF monitoring
