country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Guinea,1402175.239,10317374.09,17832289.44,134941646.6,48482456.81,48921720.84,33834380.42,16938382.12,68102820.89,53412384.74,48773451.73,65909509.41,64500000,65410977.03
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,911198769.9,950076343.1,2397521245,3150080704,3736201363,4223550130,4922229257,5369961957,5154796171,4577131314,4633780436,4715471876,5034519043,5239782158
Guinea-Bissau,0,13785903.29,24123981.93,39480006.41,46363871.19,23504808.73,31501215.6,50100089.65,54639919.23,54639017.7,50069725.04,48576737.47,45891487.12,46450637.79
Guyana,75925381.09,48616755.7,99752082.14,175619410.4,259544977,316936105.3,317931570.7,386438134.3,328868264.2,312613165.8,408273179.1,429997180.7,469258392.3,322062655.9
Honduras,699168188.8,870098180.2,1128996785,1186286520,1530752444,2250630388,2790079308,2989486698,3065954814,2704967905,2795061170,2839176892,2909370605,3136382448
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,904183998.1,1034344285,1310322194,1720176537,2113991167,2058030421,1975827315,2004095184,1931490999,1748573366,1698366070,1689604690,1612329956,1758934982
Indonesia,4105590135,3684032247,4711266262,4544307773,4534099898,13640854060,12932337120,13003937602,12329555496,9515930957,8685007874,7670473487,7212196289,7316965172
India,47693378748,61804710082,65813999739,72777661648,50520965617,41728164865,46304239274,54533263898,54378328291,80908958142,70270787897,64087423147,67258435416,76394565898
Iraq,0,0,0,0,0,1215747296,602190095.6,4162899.652,77713304.94,151604041.4,211375516.6,278171224.3,271000000,273359992.4
Iran,1317946619,1625603634,1837284714,2041601293,1557587786,1466454116,1336397710,1185642403,1048444989,1061551869,1224134905,1276832086,1329781000,1267972585
Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,3415674483,3851982136,3816744750,3152252433,2988329587,3044726977,3465554408,3729270992,3905035764,4480058266,4268285900,3580485089,3573661865,3540145652
Kenya,0,88692965.01,92540610.53,87206530.72,445210233.5,493861288.3,642634842.6,649657271.5,621891331.6,605167805.9,684353107.5,876743832.7,1227418010,1276185743
Kyrgyzstan,22124735.15,27627507.79,90904434.98,182878679.2,363842842.4,529336986.3,723812513.8,921241638.9,1302162261,1195271024,1515057470,1766622084,2031374268,2376827882
Cambodia,243073991.7,279390465.2,310854946.9,309278186.4,380766170.8,336693682.2,329033316.7,303327007.4,256296788.2,192758798.1,190025531.9,172431781,255612045.3,163690104.9
Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,56590379.31
Saint Kitts and Nevis,48804407.46,50284986.24,48529170.71,42857911.23,40408830.58,38254933.78,39815482.99,38904107.48,39314583.4,39117805.84,47503133.32,42165019.29,45130950.93,48032575.63
North Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,204577702.2,287362460.3,322617964.6,195029681.8,198448017.8,73854235.58,97740333.71,148855291.1,120526568.4,194151767.6,231496682.6,170939642.9,171297958.4,197311062.6
Lao,1047309.127,1121526.918,1103237.259,955821.3718,902982.7067,925949.118,4666298.209,6164030.447,16632422.58,35996995.1,41641524.7,103459920.7,110297813.4,55472193.75
Lebanon,0,0,5543711319,9207398776,8784163066,6858365143,6558332508,6383160482,7476097491,9049297822,7654235995,7249260169,7321666504,7168466405
Saint Lucia,32959351.07,34072884.87,32055415.44,32331931.9,32783770.12,30168515.94,30303990.74,31024770.2,30113003.1,28818753.02,29468492.64,28697165.69,29827211.38,30579477.34
Sri Lanka,1451573068,1594026761,1730690202,1891170063,2076430352,2556306601,2552633149,2759460967,2943213722,3084407727,3795481379,5189320594,6000592588,6078163596
Liberia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho,879479724.7,746040055.2,664142914.7,763745285.2,759812827.6,712323742,705326452,650733530.5,532177078,512687626.4,593488669.3,595434939.8,601871110,538174225.4
Libya,11761470.29,12803797.92,8927345.669,10204503.78,12503844.03,18310627.49,18644145.31,0,0,0,0,0,0,0
Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova,504143079.3,732146097.3,834748741.8,1095352961,1523383738,1879073106,1997878045,2271343143,2581419730,1625185955,1477934869,1563462085,1775280029,2118203132
Montenegro,0,0,0,0,0,0,0,330167663.4,360473312.8,456848767.6,386278107.9,362125092.9,332611114.5,378759758.2
Madagascar,22150063.41,20105660.55,50706107.56,27279731.18,18244432.46,15815576.28,0,0,0,0,0,0,0,0
Marshall Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,22865920.26
Macedonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,133135665.8,174567632.5,281574122,370360123,302173882.3,287795819,318857141.5,432322689.9,490869127.5,529949027.4,518966650.4,482349589.8,472741516.1,752553318.3
Myanmar,183460817.2,208675072.3,174315249,112943325.7,138526864.4,151074411.4,130815697.2,82412936.57,51550462.26,52041409.05,114921776.6,119502689.4,565685751.3,539754245
Mongolia,30693193.97,55382103.94,134247627.3,279665048.7,381021035.6,294857080.4,264454259.3,217103867,241497849.5,216910015.5,263613268.9,219982635.1,320359558.1,259077042.8
Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,392573086.1,435128980.7,361116013.1,298033649.8,255984249.4,245877664.5,250442029,207308227.3,184573552.6,205815192.2,221497842.8,229096940.5,861941.4568,230649054.8
Maldives,3985646.96,3373335.772,3655577.982,3534247.141,4929542.137,3587409.443,4209687.695,10703252.27,7794773.884,5508449.613,3607757.029,3163880.452,3147416.115,3145630.765
Malawi,976791.5674,1039322.397,1156644.429,17973994.43,22770253.48,36002257.07,24505503.16,24741984.6,18959984.15,18406436.74,17729595.15,18435304.64,17412162.78,26562493
Mexico,9121244867,14025085536,13534601455,17007332633,18111741836,18062876672,21540384168,18926867544,23278307423,24715538790,22912789321,22503475617,23370587891,21747157496
Malaysia,699220178.4,720809763.5,795107348.4,917448456.1,1180504405,1562719749,1934349360,1903649165,1371053602,1218813294,1227037437,1226378588,1319707031,1357639814
Mozambique,48233235.51,55619719.33,75764153.65,96760406.74,78862529.54,80285527.07,105942554,121384792.6,121224379.3,122040251.7,135920158.1,151677441.8,163554061.9,197836901.3
Namibia,14339522.69,13355758.79,11485828.42,18835304.87,22064182.73,23247093.3,21038211.88,18913881.45,15171209.08,16228040.17,16992543.76,15978061.97,15492519.38,16058874.51
Niger,34940906.28,53978555.57,46257526.28,56430847.69,128721720.8,130139118.6,135599965.8,121777702,130553958.9,144926163.6,192200317.5,188350687.3,134292526.2,128656036.8
Nigeria,2996745505,2730356409,2490020338,1821858433,3546478542,21945052748,24467758999,23887947743,23847283786,24082745794,21744155142,20287148928,20633320313,22108651352
Nicaragua,1424295534,1400315778,1550553250,1578215998,1461299659,1437109229,1270976848,1133837525,1020213465,1122535092,1004504677,941665033.3,1016300049,996507093
Nepal,210379714.5,275230929.5,1258841581,1400670413,1449460349,2092931222,2268301704,2576164950,3382360503,3600511068,3858839562,4406715597,4793419434,5214465692
Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama,42011319.91,202898391.8,221286677.2,261268713.3,237514873,228866960.7,237341731.2,255687100.2,221945045,491309110.5,516873231.9,384230366,402299987.8,447890298.5
Peru,1653820287,1762437661,1575748340,1728536750,1991108381,2401772942,2730466689,2413271388,2304618732,2419111039,2694510391,2555497684,2787954955,2612229182
Papua New Guinea,22385859.22,17335713.38,15618190.73,17242449.6,21973926.78,14238219.44,8186934.214,11377077.35,8819714.307,6415045.686,4582594.97,3755030.095,3493553.638,15646303.48
Philippines,9738901010,12495493351,13219664269,13674648235,15160974872,18122706762,20205930644,20950545169,22286280020,21358658393,23101851246,24113784933,24641000000,26116703604
Pakistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestine,1377025747,1439372721,1374885105,750767292.5,821382527.7,813607215.2,1146264424,1290894776,1383482806,1349946722,1632462594,1725119315,1665739746,2479888009
Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,686230354.2,667843949.6,518785483.6,527515341.9,515776285.3,325021142.9,562619026.9,518987647.2,475253103.7,502702619.5,482152505.2,577098806.9,634099975.6,555674059.9
Serbia,0,0,0,0,0,0,0,3369260849,2538984237,4024487574,3513553062,3101339575,2763194824,3004196234
Rwanda,12473093.08,16831288.98,17224423.11,15818860.91,13077204.74,10941236.02,35429250.97,139460163,82345315.53,109627613.1,104332889.7,158690818.9,182405273.4,188785190.5
Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands,8746267.843,9133173.842,6955290.749,5850425.249,11843195.94,9375637.764,2406216.104,2219252.913,1592417.107,2415060.507,1672660.825,1742304.549,2233767.622,15042923.96
Seychelles,6555574.532,3823486.343,3934917.024,7601867.468,9519595.211,16143374.64,16418747.15,5208821.88,3266594.763,17114409.33,18100625.72,24294322.41,25513092.04,12385364.38
Sudan,996569052.4,1199798267,1536257846,1695816023,1793084604,925225711.5,1060604288,1211090660,1643310830,2479871916,1210669439,435497662.3,401482605,419810910.2
"Saint Helena, Ascension and Tristan da Cunha",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname,0,252121.5757,18627786.11,30567436.8,11435359.75,4490754.102,2275197.058,2899807.179,2188479.732,5365885.504,4488015.54,3797380.144,8057491.302,6838448.287
South Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,822223.0355,1081791.17,2571069.078,5189252.711,2598004.472,2762682.774,2702206.917,2917635.671,3486404.159,3189493.492,8985593.338,7942583.855,6358890.057,0
El Salvador,1407162094,3508072504,3434020548,3835264039,4282295208,4645158017,4702717852,4642802861,4289793140,4211675942,4035915241,3938322091,3927280029,3911867958
Syria,582275149.8,507631602.9,387272432.8,2281297991,1796165453,1615525206,1433709479,1482158846,1493301353,1592300317,1917471424,1696239265,1622538696,1471995417
Swaziland,76413750.47,70161563.76,59134387.71,86846990.02,108904909.3,123093218.1,121732125.9,117170871.9,105124244.3,104666727.7,59168611.92,57265661.56,54690322.88,30789742.51
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo,46935820.02,108247647.8,172644570.4,238620583.4,253809771.7,256206070.4,306226163.7,357599634.9,369733139.2,389236241.4,437685450.9,357527141,336597473.1,337009537.3
Thailand,0,3079397017,3121137144,2803398849,2429701839,1701436049,1738890626,1733788412,1740670006,2625878197,3498705536,3687111129,4713380859,5065632416
Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokelau,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timor-Leste,0,0,0,0,0,0,4193125.222,10776470.72,16278511.86,106413596.4,129750984.8,123119309.6,130765487.7,123286953.3
Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia,1632758230,1954375783,2226737313,2553312765,2662081231,2383397258,2416027510,2486628547,2502125623,2536365402,2243101635,1885926067,2265714111,2351255533
Tonga,0,113089287,157708292.1,102239057.4,98155204.1,90856679.04,101537108,124235509.6,118900131.4,89342030.68,76107362.55,0,0,66750112.77
Turkey,8007227295,4790767610,3047115392,936636610.4,932628981.9,1004009075,1262083792,1237395741,1360276102,1001352493,987522430.3,1018075781,1015000000,876056139.8
Trinidad and Tobago,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania,29345146.53,51651266.89,38628989.3,26851088.5,36911533.83,43808327.79,27866056.99,41082087.15,48865466.03,63832125.48,69395136.09,82164916.04,67383209.23,67886597.08
Ukraine,68893272.61,292972061.8,400319113.7,530596049.1,597546972.7,3262526462,4111825745,6154895876,6837052428,5966364026,6716816675,7341595592,8449000000,9688969637
Uganda,332827480.6,480429859.7,626589084.9,426410367.6,428770512.3,424661082.3,526170336.2,553290418.8,831776713.3,889064729.1,863380942.1,859147111.2,732841552.7,924638742.1
Uruguay,0,26340.07064,142293000.5,234974978.6,226516764.9,205126240.5,194874150,194977266.8,186368324,228877672.6,185337966.8,187107921.9,96607002.26,114584204.2
Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines,50622905.55,50677133.69,50964207.93,48941882.6,47999680.16,35796220.52,31291828.41,34220817.37,26363445.77,32704273.48,29398809.79,26128817.44,29662939.07,31945776.64
Venezuela,36918280.4,43670261.02,43131687.18,440978326.7,273723160.6,235194458.8,232350206.6,199342977.4,141187362.8,175541943,165957082.4,140662493.4,118000000,124821140.4
Viet Nam,2254180623,1918193995,3198810585,3458648438,3474243914,4600655699,5074189844,7841215646,8072862472,7228613116,9723121229,8721462299,10000000000,11044355591
Vanuatu,85169778.53,130124765.8,9144885.607,7682707.126,8522664.099,7731812.791,6925673.97,6820010.313,9625034.536,14440061.21,13394271.32,21510337.47,21765886.31,21850147.9
Wallis and Futuna,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa,0,0,0,0,1520583.16,126629223.7,130693823.3,131308295.9,137820718.6,152196873.3,141888930.9,146337620.6,139147094.7,160420877.9
Kosovo,0,0,0,0,780330673.3,806106217,853514186,864223856,859302873.7,990862599.4,931985229.7,1071355227,1059029297,1261544112
Yemen,3187831378,3652686376,3748706942,3149971117,2846476650,2539310744,2286495822,2200680094,1984928384,1710098952,2020776791,1553369870,1403920044,3607784683
Mayotte,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,494705015,416503843.4,266523227.9,467076512.6,542382710.4,622060133.3,632430965.3,678009538.8,619404429.6,631396139.4,778436834.8,845746625.2,1084534302,1080278546
Zambia,0,0,0,98302111.67,112272568.5,114760241.7,107702764.1,90053734.25,82126855.58,55407990.58,51151769.81,48428659.13,72863998.41,61770569.67
Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
